"","array","site","buff_dist","red_squirrel","absent_red_squirrel","harvest","seismic","linear","wells","roads","osm_industrial"
"8278","LU22","LU22_61",4500,2,42,0.107206730062374,0.0112646361694943,0,0.0011321017196184,0.00153041561781773,0.00049985929726697
"8279","LU22","LU22_61",4750,2,42,0.112878530966709,0.0109671873622347,0,0.00118189651196148,0.00144621406719518,0.000448627180926585
"8280","LU22","LU22_61",5000,2,42,0.118288224981348,0.01086591406595,0,0.00114114698116134,0.00142779918823341,0.000404886030786258
"8281","LU22","LU22_63",250,24,27,0.255978202757747,0.0147967827120425,0.084285838387985,0,0.0253154220771733,0.00805440431596815
"8282","LU22","LU22_63",500,24,27,0.172145445753733,0.0131747313021614,0.057990790199491,0.0238942796581697,0.0165553452876322,0.0140312815502835
"8283","LU22","LU22_63",750,24,27,0.143304699243682,0.0167523098316428,0.057406029022045,0.0245683353416122,0.0162514649329481,0.0194237969756558
"8284","LU22","LU22_63",1000,24,27,0.0997777324750899,0.0186622046400913,0.043656854132249,0.0182550583347431,0.011792459175522,0.0121450964693703
"8285","LU22","LU22_63",1250,24,27,0.0771630388361374,0.0210601499877208,0.0341331348248024,0.0173795625149321,0.00904146060014217,0.00979477261544873
"8286","LU22","LU22_63",1500,24,27,0.0734311270297302,0.0215812405665291,0.0283584754843482,0.0156527018891954,0.00862285891148745,0.00990397365666882
"8287","LU22","LU22_63",1750,24,27,0.0719303456376819,0.0206327102588009,0.027056037847916,0.01449501131104,0.00852319336215523,0.0095629683755237
"8288","LU22","LU22_63",2000,24,27,0.0596187063132061,0.0209303658097697,0.0247352220380527,0.0110977430350146,0.00756271043533873,0.00744687637443694
"8289","LU22","LU22_63",2250,24,27,0.0594784868708663,0.0208049900415152,0.0223491401739749,0.00935366451440633,0.00701263836339327,0.00589320080532095
"8290","LU22","LU22_63",2500,24,27,0.0618016665965465,0.0205843658359608,0.0195912876676383,0.00968956566147476,0.00646170358177411,0.00632341565379245
"8291","LU22","LU22_63",2750,24,27,0.0709525301187335,0.0200003656644743,0.0178819530747082,0.00915483974451197,0.0058878738036287,0.00550813433678755
"8292","LU22","LU22_63",3000,24,27,0.0751971515894388,0.0196408853248938,0.0190642543201793,0.00775740376305756,0.00536534238698846,0.00462836288021733
