array,site,months_active,black_bear,caribou,cougar,coyote,fisher,grey_wolf,lynx,moose,red_fox,red_squirrel,snowshoe_hare,white_tailed_deer,wolverine,absent_black_bear,absent_caribou,absent_cougar,absent_coyote,absent_fisher,absent_grey_wolf,absent_lynx,absent_moose,absent_red_fox,absent_white_tailed_deer,absent_wolverine,absent_snowshoe_hare,absent_red_squirrel
LU15,LU15_7,12,3,0,0,2,0,1,0,5,0,2,10,3,0,5,12,12,10,12,11,12,7,12,9,12,2,10
LU15,LU15_34,12,0,1,0,1,0,2,1,4,0,0,3,1,0,8,11,12,11,12,10,11,8,12,11,12,9,12
LU15,LU15_37,12,1,1,0,1,0,0,1,0,1,12,6,0,0,7,11,12,11,12,12,11,12,11,12,12,6,0
LU15,LU15_18,12,6,3,0,5,0,2,6,3,0,1,1,2,0,2,9,12,7,12,10,6,9,12,10,12,11,11
LU15,LU15_43,12,3,3,0,1,0,0,2,4,0,3,2,0,0,5,9,12,11,12,12,10,8,12,12,12,10,9
LU15,LU15_10,12,5,0,0,4,0,6,3,5,0,0,1,9,0,3,12,12,8,12,6,9,7,12,3,12,11,12
LU15,LU15_58,12,5,0,0,4,0,2,9,7,0,4,0,2,0,3,12,12,8,12,10,3,5,12,10,12,12,8
LU15,LU15_8,12,3,0,0,3,0,1,8,0,0,2,6,4,0,5,12,12,9,12,11,4,12,12,8,12,6,10
LU15,LU15_12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3
LU15,LU15_17,12,0,0,0,0,0,0,0,0,0,1,3,0,0,8,12,12,12,12,12,12,12,12,12,12,9,11
LU15,LU15_1,12,2,5,0,0,0,1,0,1,5,1,0,0,0,6,7,12,12,12,11,12,11,7,12,12,12,11
LU15,LU15_26,12,0,0,0,0,1,1,0,0,2,1,2,1,0,8,12,12,12,11,11,12,12,10,11,12,10,11
LU15,LU15_27,12,5,2,0,2,0,5,2,3,3,0,1,0,0,3,10,12,10,12,7,10,9,9,12,12,11,12
LU15,LU15_28,12,0,1,0,2,0,1,0,1,4,0,0,0,0,8,11,12,10,12,11,12,11,8,12,12,12,12
LU15,LU15_2,12,3,4,0,0,3,0,1,2,1,1,0,0,0,5,8,12,12,9,12,11,10,11,12,12,12,11
LU15,LU15_29,12,1,3,0,1,0,1,0,0,4,0,2,0,0,7,9,12,11,12,11,12,12,8,12,12,10,12
LU15,LU15_30,12,2,0,0,0,0,0,2,5,1,7,8,1,0,6,12,12,12,12,12,10,7,11,11,12,4,5
LU15,LU15_31,12,0,0,0,1,0,0,3,1,0,3,8,1,0,8,12,12,11,12,12,9,11,12,11,12,4,9
LU15,LU15_32,12,3,0,0,5,0,0,9,3,0,10,11,1,0,5,12,12,7,12,12,3,9,12,11,12,1,2
LU15,LU15_20,11,3,0,0,4,3,4,1,0,0,1,4,6,0,5,11,11,7,8,7,10,11,11,5,11,7,10
