array,site,buff_dist,buffer_area,harvest,pipeline,roads,seismic_lines,seismic_lines_3D,trails,transmission_lines,veg_edges,wells,lc_grassland,lc_water,lc_coniferous,lc_broadleaf,lc_mixed,lc_developed,lc_shrub,osm_industrial
LU15,LU15_03,4500,0,0,0.012962940999999999,0.003377362,0.016578716000000007,0,1.4639800000000008e-4,0,0.003945108,0.006628387,0.054980105,0,0.5657905870000002,0.034728425,0.11481524800000002,0.023964096000000008,0.20376598600000007,0.010886635000000002
LU15,LU15_15,4500,0,0,0.012167506,0.003460928000000001,0.016491046000000006,0,1.668600000000001e-4,0,0.0040314439999999995,0.006680450000000001,0.05967635800000002,0,0.6013114649999998,0.044546515999999994,0.112578424,0.024879268999999992,0.15505241700000005,0.0110068
LU15,LU15_14,4500,0,0,0.014157512,0.003818625,0.016215305000000006,0,9.940000000000006e-5,0,0.005019534999999998,0.007074745999999999,0.07229430100000003,0.001298061,0.531272298,0.02122007,0.068815943,0.025849938,0.27729383799999996,0.009867638000000001
LU15,LU15_22,4500,0,0,0.012177965,7.025720000000002e-4,0.007115531999999998,0.022197471,0.008358368000000003,0.007889503,0.00202358,0.005686551000000001,0.04050232600000001,0,0.7975567299999995,0.041922197000000015,0.046572986,0,0.07344576100000003,0.014339287000000003
LU15,LU15_61,4500,0,0,0.008932486,8.462250000000003e-4,0.007558823999999998,0.020819762999999988,0.008301631,0.007619192,0.0024547320000000007,0.0053242920000000004,0.046650824000000014,0,0.7748461209999998,0.019857462,0.028114389,0,0.130531205,0.014606183000000002
LU21,LU21_106,4500,0,0,0,0,1.0659300000000003e-4,0,6.446970000000003e-4,0,0,0,0.039205707,0.05759082300000001,0.605303672,0.09206068,0.12766161799999995,0,0.07817750000000002,0
LU21,LU21_10,4500,0,0,0,0,1.355620000000001e-4,0,6.807830000000001e-4,0,0,7.880000000000005e-5,0.046636464,0.056040493,0.608074396,0.08795786899999997,0.11225824400000002,0,0.089032534,0
LU21,LU21_16,4500,0,0,0,0,0.001280218,0,2.3264100000000004e-4,0,0,4.5519800000000025e-4,0.025219645,0.032681788,0.694395702,0.043650055000000014,0.09971717799999998,0,0.10433563200000003,0
LU21,LU21_107,4500,0,0,0,0,0.001010302,0,8.383580000000006e-4,0,0,1.2574500000000005e-4,0.032191416,0.055086948999999996,0.7161630139999998,0.08794571100000002,0.07451528700000003,0,0.034097622000000015,0
LU21,LU21_41,4500,0,0,0,0,0.00197603,0,7.730000000000006e-5,0,0,1.5707700000000007e-4,0.0023966719999999994,0.003385752,0.867333559,0.04254742,0.056971418,0,0.027365178000000007,4.150000000000002e-5
LU21,LU21_63,4500,0,0,0,0,6.286550000000003e-4,0,5.598180000000002e-4,0,0,2.2756700000000013e-4,0.027412517,0.04861186800000003,0.6570115,0.08235854699999998,0.08918865499999998,0,0.09541691299999998,0
LU21,LU21_27,4500,0,0,0,0,8.009920000000003e-4,0,0,0,0,8.620000000000005e-5,0.004371473,0.016013371000000005,0.885936254,7.037470000000002e-4,0.048992266,0,0.04398288900000001,0
