buffer,site,water_cai_mn,natural_cai_mn,anthropogenic_cai_mn,water_ed,natural_ed,anthropogenic_ed,water_tca,natural_tca,anthropogenic_tca,landscape_cai_mn,landscape_ed,landscape_tca,natural_cohesion
3000,LU22_11,48.31504322729191,40.08732773314473,0.2022825944374048,6.380027494333819,135.8859329487894,130.8091050921025,251.13,1415.0775,120.59,NA,NA,NA,98.75115753745358
3250,LU22_11,40.55005466597829,39.691761321940234,0.1700463732375489,5.847953216374268,134.09359734900812,129.45255573313108,313.3625,1659.04,142.1,NA,NA,NA,98.77799315622508
3500,LU22_11,37.97075277763832,39.448186792528404,0.33997545891562175,5.667281152040033,132.14485243591216,128.06601921840314,379.8275,1915.385,171.69,NA,NA,NA,98.7682059899156
3750,LU22_11,35.54236297392764,40.15851606795265,0.30276895337717546,5.224609595824835,130.66046482179118,126.88983660234176,446.1775,2215.345,191.385,NA,NA,NA,98.799899344301
4000,LU22_11,32.846098792880674,38.76452149816617,0.12261653608029106,5.0038609731640005,131.74415611648712,128.3224493974,507.15,2528.61,217.13,NA,NA,NA,98.79841213162696
4250,LU22_11,32.87745826143707,37.68907105565752,0.08715608560097636,4.6143626329072465,132.07061269068583,128.9001643332924,560.63,2853.03,270.2275,NA,NA,NA,98.823232698221
4500,LU22_11,30.171801583243752,37.68149920251503,0.31407975380697123,4.367566752457689,131.9254914003467,128.86324670194125,607.1825,3195.5825,331.46250000000003,NA,NA,NA,98.843043872039
4750,LU22_11,29.535394022933424,36.8817209306698,0.22544308905615568,4.502511911001546,130.78503519283714,127.60359848478171,667.7925,3538.015,420.6125,NA,NA,NA,98.8609088659992
5000,LU22_11,37.630089864174515,36.42411047678494,0.3788981526670788,4.615402234786161,128.99712030458855,125.66695552696643,736.1225,3907.94,513.9875,NA,NA,NA,98.89972339865484
50,LU22_110,NA,0.2976190476190476,0,NA,472.30320699708454,472.30320699708454,NA,0.0025,0,NA,NA,NA,94.5346648465151
100,LU22_110,NA,19.83102666664225,0,NA,276.01809954751127,276.01809954751127,NA,0.9175,0,NA,NA,NA,97.25167509152999
250,LU22_110,NA,22.806970993401475,34.283088235294116,NA,154.55450472872076,154.55450472872076,NA,8.23,1.865,NA,NA,NA,97.88573630046044
500,LU22_110,NA,59.62245471086749,15.559369951534732,NA,98.19967266775777,98.19967266775777,NA,48.38,3.8525,NA,NA,NA,98.9335219453464
750,LU22_110,NA,42.83164536824801,4.065785455655892,NA,112.2532086387508,112.2532086387508,NA,104.58,11.65,NA,NA,NA,98.89241770854083
1000,LU22_110,NA,47.14438447365104,1.5370894274225115,NA,102.61402217526532,102.61402217526532,NA,198.9175,17.2775,NA,NA,NA,99.02179160286968
1250,LU22_110,0,50.578560084409354,1.1203525803080865,0.3448538174810457,86.89301924588584,86.54816542840479,0,340.43,19.9425,NA,NA,NA,99.24503565146618
1500,LU22_110,46.29252984779211,41.91836945893328,1.2659552040477349,5.350326553198388,85.66161827992993,81.17129151525619,9.2075,469.605,39.6325,NA,NA,NA,99.31344294630942
1750,LU22_110,41.40171982486647,43.16405492574855,1.578896007467436,9.65923223613299,84.51310007462068,76.63647292927618,29.0425,582.195,93.0325,NA,NA,NA,99.315997042165293
2000,LU22_110,24.391878423429127,45.372062205653734,1.6913330012034022,13.332433655365124,82.6420366592311,72.83422374991069,44.6175,727.47,153.3825,NA,NA,NA,99.32701337055926
2250,LU22_110,27.499105511876657,37.986784979843435,1.244142485307441,14.152045866306931,81.07857977584489,70.8982674645689,70.19500000000001,890.885,224.8,NA,NA,NA,99.338328174264
2500,LU22_110,30.35542615096497,36.157028435943324,1.3071675658709847,13.52584552421866,81.82615437410236,71.8133174036274,95.6725,1069.9275,309.8375,NA,NA,NA,99.31199402619988
2750,LU22_110,28.51762122722724,34.962526894541305,1.6330112159031411,13.841055845413877,82.56934711485324,72.48535941147671,126.85,1283.5875,371.8575,NA,NA,NA,99.31447170918608
3000,LU22_110,29.72487788191401,35.6964364872572,1.5653443218067604,13.293859095335934,86.00039026871148,76.12535572286683,149.9725,1503.7175,459.81,NA,NA,NA,99.2811324050316
3250,LU22_110,27.435603508555637,36.006489604986804,1.5418356971554572,12.682192708529293,86.73012528688062,77.05481771323225,173.15,1739.5225,569.8199999999999,NA,NA,NA,99.26681934170549
3500,LU22_110,25.344775625747115,34.62728347335243,1.1968854992770113,12.531699125013304,87.51424351676647,77.7287203806231,206.35,1984.9875,680.7025,NA,NA,NA,99.23649216613998
3750,LU22_110,27.020480228858737,33.517398452495776,0.975385343598635,12.468801144217151,88.65082438471475,78.75990378173944,241.3925,2260.105,788.9125,NA,NA,NA,99.22019562782046
4000,LU22_110,26.76961717668565,32.221554037008204,0.8150742913434335,12.220264908231236,88.84935611547435,79.36612841912249,271.865,2582.8525,892.25,NA,NA,NA,99.21276560873793
4250,LU22_110,24.37263228319329,32.42858749375999,1.0642723429342231,11.905348866693902,92.3496555707383,83.00639553721103,294.46500000000003,2914.8975,983.8025,NA,NA,NA,99.1909358982392
4500,LU22_110,29.13833880557046,30.967740090533564,0.8604685232277309,11.506728817086914,95.28884630337204,86.15713270318984,320.555,3296.6525,1053.2125,NA,NA,NA,99.18586549203552
4750,LU22_110,27.811821372120583,31.919160286388028,0.8029428317266459,11.201496164597843,98.42583379418784,89.4364392636056,361.6725,3690.2225,1109.035,NA,NA,NA,99.17856771828724
5000,LU22_110,35.21119597630409,33.05657055734764,0.7877729118109178,11.459555138173505,99.79248604140165,90.639984755375,423.61,4110.2325,1163.86,NA,NA,NA,99.17967854514876
50,LU22_15,NA,17.73049645390071,0,NA,201.1494252873563,201.1494252873563,NA,0.25,0,NA,NA,NA,97.56804095781078
100,LU22_15,NA,12.806912559387806,0,NA,263.7528259231349,263.7528259231349,NA,1.025,0,NA,NA,NA,97.91744302911503
250,LU22_15,NA,23.980254049634077,50.49620548744892,NA,145.49078226208272,145.49078226208272,NA,5.97,4.325,NA,NA,NA,97.99695479891751
500,LU22_15,40.01937984496123,41.85874206360926,3.7588583621436,7.237028413202857,135.74148075894402,131.0216796198987,1.0325,34.82,9.815,NA,NA,NA,98.80292519057366
